,id,age,highest_education,profession,hispanic,weekly_hours_worked,in_college,is_married,schoolmeals_purchases,self_employed,sex,supp_security,reason_unemployment,main_profession,numweeks_schoolmeals,id_2,psu,psu_popsize,net_income,total_food_percent,rent_income_percent,alcbev_percent,bakery_percent,beef_percent,cereal_percent,child_age,housing_type,census_division,eggs_percent,fam_size,food_away_percent,food_home_percent,fresh_fruit_percent,fresh_veg_percent,value_foodstamps,number_foodstamps,non_alc_grocery_percent,milk_percent,number_earners,non_alc_bevs_percent,oils_percent,othdairy_percent,othmeat_percent,members_under18,members_over64,pet_food_percent,pork_percent,procfruit_percent,proc_veg_percent,spouse_race,seafood_percent,smoking_percent,lives_in_MSA,state,sweets_percent,vehicle
655,362315,39,"Some high school, no degree",Paid employee of a PRIVATE company,No,27.5,,Married,,No,Male,,,110.0,,362315,"Honolulu, HI",0.33-1.19 mil,40509.4,0.0265780288031914,,0.0,0.0,0.0,0.00603958587389593,4,"House, apartment, flat",Pacific,0.0,6,0.0205384429292954,0.00603958587389593,0.0,0.0,,,0.128365268308096,0.0,2,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Yes,Hawaii,0.0,2.0
834,362681,88,Bachelor’s degree,,No,,Not at all,Never married,,No,Female,,Retired,930.0,,362681,"Honolulu, HI",0.33-1.19 mil,30004.8,0.0388724470751346,,0.0,0.0,0.0135871593878313,0.0,0,"House, apartment, flat",Pacific,0.0,2,0.0216632005545779,0.0172092465205567,0.0,0.0036220871327254296,,,0.129979203327468,0.0,0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,,0.0,0.0,Yes,Hawaii,0.0,2.0
1020,363096,31,Master’s or greater,Paid employee of a PRIVATE company,No,42.5,Part time,Never married,,No,Male,,,103.0,,363096,"Honolulu, HI",0.33-1.19 mil,118632.6,0.0882376345119301,,0.0006837918076481509,0.0023450552377677,0.0036074401134258203,0.0113373558364227,0,"House, apartment, flat",Pacific,0.00171824608075689,4,0.00032874606136930296,0.0879088884505608,0.00793154664063672,0.0114754291821978,,,0.0525993698190885,0.0,4,0.0022858809467212198,0.0,0.0009730883416531381,0.0,0,1,0.00143114118716103,0.0181160996218577,0.0,0.00045586120509876697,,0.00606426901205908,0.0,Yes,Hawaii,0.000475585968780925,2.0
1062,363169,74,Bachelor’s degree,,No,50.0,Not at all,Divorced,,No,Female,,Retired,930.0,,363169,"Honolulu, HI",0.33-1.19 mil,111045.0,0.0305504975460399,,0.0,0.00342077536134,0.0,0.0007960736638299791,7,"House, apartment, flat",Pacific,0.0,2,0.0006790040073843941,0.0298714935386555,0.0018379936061956898,0.00299464181187807,,,0.0327795038047638,0.0,1,0.00166707190778513,0.0,0.00207681570534468,0.00273006438831105,0,1,0.0,0.000669638434868747,0.0,0.0006321761448061599,,0.0023531000945562603,0.0,Yes,Hawaii,0.0,2.0
1221,363484,51,Associate’s degree in college,Paid employee of a PRIVATE company,No,40.0,Not at all,Widowed,,Yes,Female,,,106.0,,363484,"Honolulu, HI",0.33-1.19 mil,54939.2,0.115924817616565,,0.00853531285493782,0.007174476512217141,0.0123660337245537,0.0,0,"House, apartment, flat",Pacific,0.0024750997466289996,1,0.0501382754026269,0.0657865422139383,0.0024750997466289996,0.000989093397792469,,,0.0946500859131549,0.00013314718816437098,1,0.000743003174418266,0.0,0.0019781867955849398,0.0,0,0,0.0019781867955849398,0.00593456038675481,0.0,0.0,,0.00791274718233975,0.017311500713516004,Yes,Hawaii,0.0,1.0
1228,363506,26,Bachelor’s degree,Paid employee of a PRIVATE company,No,40.0,Not at all,Married,,No,Male,,,104.0,,363506,"Honolulu, HI",0.33-1.19 mil,80000.0,0.1052155,,0.0092625,0.0023725,0.0,0.00244075,0,"House, apartment, flat",Pacific,0.0,2,0.053625,0.0515905,0.003016,0.00424125,,,0.0325,0.0,2,0.013247,0.00253825,0.00491725,0.0,0,0,0.0,0.0,0.00339625,0.00338975,4.0,0.0,0.0,Yes,Hawaii,0.0,1.0
1390,363811,28,Bachelor’s degree,Self-employed,No,30.25,Not at all,Never married,,Yes,Female,,,203.0,,363811,"Honolulu, HI",0.33-1.19 mil,81826.6,0.129808399713541,,0.0112799505295344,0.0,0.0,0.00802306340480968,0,"House, apartment, flat",Pacific,0.0,4,0.0291499341289996,0.100658465584541,0.000660909777505114,0.0127193357661201,,,0.0635490170677995,9.41625339437298e-05,4,0.0057575409463426295,0.00298362635133319,0.0105523142841081,0.00500726854103678,0,0,0.0016173224843755,0.0112485700249063,0.0,0.0021543116785984,,0.0112386436684403,0.00271989793050182,Yes,Hawaii,0.0044103017845052795,3.0
1559,367350,78,Master’s or greater,,No,40.0,Not at all,Married,,No,Male,,Retired,930.0,,367350,"Honolulu, HI",0.33-1.19 mil,131802.6,0.0529359795633773,2.36185022146756,0.0,0.000822593787982938,0.00440689333897814,0.000923198783635528,7,"House, apartment, flat",Pacific,0.0013911560166491401,5,0.007693323196962729,0.0452426563664146,0.0030909681599604302,0.00396124477058874,,,0.0236717636829622,0.0,2,0.00969950516909378,0.0,0.0,0.00101911677007889,0,2,0.0,0.0064032120762412895,0.000266307341433325,0.000781168201537754,4.0,0.00657118691133559,0.0,Yes,Hawaii,0.0007200161453567679,5.0
1875,367974,18,Some college but no degree,,No,30.0,Full time,Never married,,No,Female,,Going to school,920.0,,367974,"Honolulu, HI",0.33-1.19 mil,20876.8,0.312682978234212,,0.0,0.0052057786633966895,0.0117192290006131,0.0143221183323115,0,"House, apartment, flat",Pacific,0.00651345033721643,3,0.20593960760269797,0.10674337063151401,0.0130269006744329,0.00128276364193746,,,0.249080318822808,0.0,2,0.0,0.0,0.00911633966891478,0.0,0,0,0.0,0.0,0.0,0.0,,0.0169250076640098,0.0,Yes,Hawaii,0.0,
1940,368114,42,Bachelor’s degree,Self-employed,No,50.0,Not at all,Never married,,Yes,Male,,,206.0,,368114,"Honolulu, HI",0.33-1.19 mil,489049.8,0.008540847987260191,,0.0,0.000222226857060365,0.0,0.0,0,"House, apartment, flat",Pacific,0.000249340660194524,2,0.00476724456282366,0.0037736034244365297,0.0,0.0011930073379030099,,,0.0132910799677252,1.4180559934795998e-05,2,0.000800654657255764,0.0,0.000278049392924811,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,Yes,Hawaii,0.000238176153021635,1.0
2184,368618,52,Some college but no degree,,No,40.0,Not at all,Never married,,No,Male,,Taking care of home/family,910.0,,368618,"Honolulu, HI",0.33-1.19 mil,82155.8,0.00854474060261114,,0.0,0.0,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,3,0.00854474060261114,0.0,0.0,0.0,,,0.0632943748341566,0.0,1,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,,0.0,0.0,Yes,Hawaii,0.0,2.0
2199,368649,61,High school graduate,Paid employee of a PRIVATE company,No,45.0,Not at all,Never married,,No,Male,,,107.0,,368649,"Honolulu, HI",0.33-1.19 mil,96152.8,0.122314066777047,,0.00501327054438352,0.0012817099450042,0.0047888361025368,0.0,0,"House, apartment, flat",Pacific,0.0,2,0.0740958141624581,0.0482182526145884,0.0,0.0,,,0.0378564118777612,0.0,2,0.0118842093001972,0.0,0.00559734089906898,0.0,0,0,0.0,0.0,0.00114918816716726,0.00144938410529907,,0.0,0.008136424524298821,Yes,Hawaii,0.0,2.0
2204,368663,73,Master’s or greater,,No,40.0,Not at all,Married,,No,Female,,Retired,930.0,,368663,"Honolulu, HI",0.33-1.19 mil,69176.0,0.158019837226784,,0.0078515670174627,0.0182626922632127,0.0047658184919625295,0.00266855556840523,7,"House, apartment, flat",Pacific,0.00109373193014918,3,0.0918772406615011,0.0661425965652827,0.00328119579044755,0.007772637909101421,,,0.0601364635133572,3.54169075980109e-05,1,0.00382994102000694,0.0,0.00136810454492888,0.0,0,2,0.0,0.00718630738984619,0.00293916965421533,0.0,4.0,0.0,0.0,Yes,Hawaii,0.000383369954897652,
2235,368729,23,Associate’s degree in college,,No,35.0,Not at all,Never married,,No,Male,,Unable to find work,800.0,,368729,"Honolulu, HI",0.33-1.19 mil,41903.0,0.14283464191108,,0.0,0.00444884614466745,0.0,0.0029286685917476103,0,"House, apartment, flat",Pacific,0.0,3,0.0653552251628762,0.0774794167482042,0.0,0.0139111758108011,,,0.0496384507075866,5.9661599408156895e-05,2,0.00537956709543469,0.00828962126816696,0.00700522635610815,0.009245161444288,0,0,0.009065222060473,0.0122296732930816,0.0,0.0,,0.0,0.0,Yes,Hawaii,0.0,
2584,370493,64,Some college but no degree,A Federal government employee,No,40.0,Not at all,Divorced,,No,Female,,,110.0,,370493,"Honolulu, HI",0.33-1.19 mil,44331.8,0.0788824275125305,,0.0123162154480531,0.00275062145006519,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,1,0.0445846999219522,0.0342977275905783,0.0,0.0,,,,0.0,1,0.0,0.0,0.0036714051764196298,0.0,0,0,0.0,0.0,0.0,0.0,,0.0114071614506968,0.0243978363161433,Yes,Hawaii,0.00538394561014892,1.0
2705,370732,32,Master’s or greater,Paid employee of a PRIVATE company,No,34.5,Not at all,Never married,,No,Female,,,107.0,,370732,"Honolulu, HI",0.33-1.19 mil,92961.0,0.0422467654177558,,0.00174243435419154,0.0,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,2,0.0404931267951076,0.00175363862264821,0.0,0.0,,,0.0139843590322824,0.0,2,0.0,0.0,0.00175363862264821,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,Yes,Hawaii,0.0,1.0
3008,372460,73,Grade 8 or lower,Paid employee of a PRIVATE company,No,40.0,,Married,,No,Male,,,112.0,,372460,"Honolulu, HI",0.33-1.19 mil,50000.0,0.06298240000000001,,0.0,0.0,0.0,0.0,0,"House, apartment, flat",Pacific,0.001456,1,0.02314,0.0398424,0.009193600000000001,0.0027091999999999997,,,0.10400000000000001,0.0,1,0.0081172,0.0,0.0027091999999999997,0.0,0,1,0.007436,0.0088036,0.0,0.0,,0.0,0.0,Yes,Hawaii,0.0,1.0
3263,372999,34,Bachelor’s degree,A State government employee,No,40.0,Not at all,Married,,No,Female,,,110.0,,372999,"Honolulu, HI",0.33-1.19 mil,91209.8,0.136713379483345,,0.0125881210133122,0.0162283000291635,0.0,0.0,2,"House, apartment, flat",Pacific,0.0019896984753831302,4,0.0484739578422494,0.0882394216410956,0.009959894660442191,0.0008865275441893311,,,0.0826665555674938,0.000137375589026618,2,0.0151849910864841,0.00115448120706328,0.00260827235669851,0.00297599600042978,2,0,0.0,0.0,0.00108963642064778,0.00173812989393684,4.0,0.0,0.0,Yes,Hawaii,0.000743999000107445,2.0
3265,373005,65,Some college but no degree,,No,,Not at all,Married,,No,Female,,Retired,930.0,,373005,"Honolulu, HI",0.33-1.19 mil,17035.2,0.0502442002442002,,0.0,0.0,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,2,0.0502442002442002,0.0,0.0,0.0,,,0.152625152625153,0.0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,Hawaii,0.0,2.0
3401,373300,79,"Some high school, no degree",,No,40.0,,Married,,No,Male,,Retired,930.0,,373300,"Honolulu, HI",0.33-1.19 mil,169575.2,0.071484391585562,14.7191334581944,0.0,0.0011993149941736802,0.00400329765201515,0.000451034113478858,0,"House, apartment, flat",Pacific,0.0,3,0.0462594766215815,0.0252249149639806,0.00132472201123749,0.00124346012860371,,,0.0919945841137147,0.0,1,0.00539701560133793,0.0,0.00262184564724087,0.0010395388004849802,0,2,0.00316921342271747,0.0,0.0,0.00163473149375616,5.0,0.00166356872938967,0.0,Yes,Hawaii,0.000640895602658879,5.0
3500,374612,64,Bachelor’s degree,A Federal government employee,No,40.0,Not at all,Never married,,No,Male,,,112.0,,374612,"Honolulu, HI",0.33-1.19 mil,53181.8,0.130904933642712,,0.00561244636322952,0.00609155763813936,0.0,0.00555866856706618,0,"House, apartment, flat",Pacific,0.0,1,0.0670462451440154,0.0638586884986969,0.0121733374951581,0.0,,,0.0977778112060893,0.0,1,0.00947955879643036,0.0,0.0039648902444069205,0.000513333508831969,0,0,0.0,0.0,0.0,0.0,,0.00196533400524239,0.0,Yes,Hawaii,0.00624800213606911,1.0
3616,374846,56,Some college but no degree,Self-employed,No,26.0,Not at all,Married,,Yes,Female,,,209.0,,374846,"Honolulu, HI",0.33-1.19 mil,329514.6,0.00819101793972103,,0.00165698272549987,0.000329029426920689,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,2,0.00394519696547588,0.00424582097424515,0.0,0.0009547376656451641,,,0.0276163787583312,0.0,2,0.0,0.0,0.00131769578646895,0.00024618029064569504,0,0,0.0,0.0,0.0,0.000658058853841378,1.0,0.0,0.0,Yes,Hawaii,0.0,2.0
3896,375400,55,Some college but no degree,,No,,Not at all,Married,,No,Male,,Retired,930.0,,375400,"Honolulu, HI",0.33-1.19 mil,11500.0,0.32139687478260903,,0.0,0.0233095652173913,0.0,0.0146278260869565,4,"House, apartment, flat",Pacific,0.00612695652173913,6,0.11048035304347802,0.21091652173913003,0.0,0.0067599999999999995,800.0,12.0,0.452173913043478,0.0007026086956521741,0,0.00140173913043478,0.0,0.0344330434782609,0.0188782608695652,4,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0309810347826087,Yes,Hawaii,0.0134069565217391,1.0
4001,376694,74,High school graduate,,No,,Not at all,Married,,No,Male,,"Ill, disabled, unable to work",900.0,,376694,"Honolulu, HI",0.33-1.19 mil,51947.8,0.19527102706948102,,0.00625628034295966,0.00668671243055529,0.0306607787047767,0.00223724585064238,0,"House, apartment, flat",Pacific,0.0,2,0.014604660832604999,0.18066636623687599,0.0231814005597927,0.0088876318150143,,,0.0500502427436773,0.000136951227963456,0,0.0323574819337874,0.0032832959239852302,0.00543045133768899,0.0254605584837086,0,2,0.0,0.0,0.0,0.0018718290283707899,6.0,0.0,0.0,Yes,Hawaii,0.007807988018741891,
4005,376699,37,Bachelor’s degree,Paid employee of a PRIVATE company,No,50.0,Not at all,Married,,No,Male,,,101.0,,376699,"Honolulu, HI",0.33-1.19 mil,383535.2,0.0507295816915892,0.00013558077589749298,0.0,0.00212275634674471,0.000427963430735953,0.0,1,"House, apartment, flat",Pacific,0.000204726971605214,4,0.023144994253461,0.0275845874381282,0.0022147119742855397,0.00229402672818557,,,0.00677903879487463,1.5309468335631302e-05,2,0.00127445929343643,0.00136665422104673,0.0017035724491519901,0.000282008013866785,2,0,0.0,0.0024363865428779397,0.0007077316501849111,0.00211573800788037,4.0,0.000615536722574616,0.0,Yes,Hawaii,0.0,2.0
4046,376775,49,Some college but no degree,Paid employee of a PRIVATE company,No,40.0,Not at all,Never married,,No,Male,,,104.0,,376775,"Honolulu, HI",0.33-1.19 mil,55000.0,0.0224545454545455,,0.0,0.0,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,2,0.0224545454545455,0.0,0.0,0.0,,,0.0472727272727273,0.0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,Yes,Hawaii,0.0,
4091,376856,75,Bachelor’s degree,,No,,Not at all,Widowed,,No,Female,,Retired,930.0,,376856,"Honolulu, HI",0.33-1.19 mil,42052.2,0.269192574942571,,0.0,0.00397643785580778,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,1,0.0809636594518242,0.188228915490747,0.0016980110434174698,0.00108209368356471,,,0.0618279186344591,0.0,0,0.0,0.00257588711173256,0.00411728803724894,0.00324508158907263,0,1,0.0,0.0,0.00218530778413496,0.004973270839575571,,0.00360403593628871,0.0,Yes,Hawaii,0.00183037843442198,2.0
4132,376945,49,Some college but no degree,Paid employee of a PRIVATE company,No,36.0,Not at all,Never married,,No,Female,,,107.0,,376945,"Honolulu, HI",0.33-1.19 mil,60000.0,0.0208,,0.013000000000000001,0.0,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,1,0.0208,0.0,0.0,0.0,,,0.0866666666666667,0.0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,Yes,Hawaii,0.0,
4278,377258,30,Master’s or greater,A State government employee,No,50.0,Not at all,Married,,No,Female,,,103.0,,377258,"Honolulu, HI",0.33-1.19 mil,283230.8,0.0324983017383703,,0.00161105360010281,0.00088952190227899,0.000680222631154521,0.00033598040891032996,1,"House, apartment, flat",Pacific,0.0,3,0.0237040604341053,0.00879424130426493,0.0018029112653002398,0.00115298194970321,,,0.0229494814829461,1.79359024512871e-05,2,0.0,0.0,0.000756414909677902,0.0,1,0,0.0,0.000411254708174393,0.0,0.00015513849482471498,1.0,0.0008739162548705861,0.00335613217206603,Yes,Hawaii,0.0,3.0
4299,377313,82,High school graduate,,No,37.0,Not at all,Widowed,,No,Male,,Retired,930.0,,377313,"Honolulu, HI",0.33-1.19 mil,57973.0,0.0743004502095803,,0.0,0.0014965887568350802,0.0,0.0019020771738568,7,"House, apartment, flat",Pacific,0.0,2,0.0532575509288807,0.0210428992806996,0.0,0.0,,,0.0448484639401101,1.7854690976834e-05,1,0.00230070826074207,0.0,0.0014111927966467199,0.0,0,1,0.0,0.0024189332965345897,0.0013762334190054,0.00522090386904249,,0.0,0.0,Yes,Hawaii,0.0,3.0
4320,377360,56,Master’s or greater,A State government employee,No,49.0,Not at all,Never married,,No,Male,,,103.0,,377360,"Honolulu, HI",0.33-1.19 mil,50189.4,0.0629933810724974,,0.0,0.00379203576850889,0.0,0.00541349368591774,0,"House, apartment, flat",Pacific,0.0,1,0.01159368312831,0.0513996979441874,0.0020876918233730603,0.0,,,0.103607534658713,4.15426364929646e-05,1,0.0,0.00534096841165665,0.0135570459100926,0.00270933703132534,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,Yes,Hawaii,0.0,1.0
4454,378716,46,High school graduate,Paid employee of a PRIVATE company,No,37.5,Not at all,Married,,No,Male,,,101.0,,378716,"Honolulu, HI",0.33-1.19 mil,114496.6,0.0817491523765771,,0.00681242936471476,0.0,0.0,0.0,3,"House, apartment, flat",Pacific,0.0,3,0.0817491523765771,0.0,0.0,0.0,,,0.0408745761882886,0.0,2,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Yes,Hawaii,0.0,2.0
4564,378955,60,Master’s or greater,Paid employee of a PRIVATE company,No,50.0,Not at all,Married,,No,Male,,,101.0,,378955,"Honolulu, HI",0.33-1.19 mil,61206.8,0.244398339073436,,0.0,0.0147954148885418,0.0224045315226413,0.0038910709267597704,6,"House, apartment, flat",Pacific,0.00212394701242346,4,0.066900082997314,0.17749825607612196,0.000883561957168158,0.0180577974996242,,,0.127436820745407,7.32761719286092e-05,1,0.00396753301920702,0.0017713718083611602,0.0145065580948522,0.0170711518981551,1,0,0.0,0.0196252703947927,0.00168641392786422,0.00208571596619983,4.0,0.0,0.0,Yes,Hawaii,0.0,3.0
4869,379563,53,Master’s or greater,Paid employee of a PRIVATE company,No,52.5,Not at all,Married,,No,Female,,,101.0,,379563,"Honolulu, HI",0.33-1.19 mil,528461.5,0.0286985144613184,,0.00101449206801252,0.0,0.000863941838714835,0.000780302822438342,0,"House, apartment, flat",Pacific,0.0,2,0.0104711128436036,0.0182274016177148,0.0101272088884432,0.000264692886804431,,,0.0,4.3144107943530405e-06,2,0.0008216303363631981,0.00014809025823073202,0.0,0.0,0,0,0.000859021896580924,0.0,0.0,0.00018351384159489398,1.0,0.0,0.0,Yes,Hawaii,0.00012841048969508702,2.0
5224,381400,88,"Some high school, no degree",,No,,,Widowed,,No,Female,,Retired,930.0,,381400,"Honolulu, HI",0.33-1.19 mil,20117.2,0.0361879386793391,,0.0,0.0,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,1,0.0361879386793391,0.0,0.0,0.0,,,0.129242638140497,0.0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,,0.0,0.0,Yes,Hawaii,0.0,
5265,381477,46,Some college but no degree,Paid employee of a PRIVATE company,No,40.0,Not at all,Married,,No,Female,,,104.0,,381477,"Honolulu, HI",0.33-1.19 mil,100845.2,0.0549235858523757,,0.0,0.0,0.0,0.0,5,"House, apartment, flat",Pacific,0.0,4,0.0534204900183648,0.00150309583401094,0.00150309583401094,0.0,,,0.0515641795544062,0.0,2,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Yes,Hawaii,0.0,3.0
5288,381516,51,Bachelor’s degree,A State government employee,No,40.0,Not at all,Married,,No,Male,,,101.0,,381516,"Honolulu, HI",0.33-1.19 mil,204937.8,0.11765081893140301,,0.00557330077711384,0.0,0.00509627799263972,0.0027048206821777103,3,"House, apartment, flat",Pacific,0.00397857301093307,4,0.0556251701735844,0.0620256487578182,0.0117695222648042,0.00294713810726962,,,0.0380603285484669,0.0,2,0.00859782821909867,0.000595009802974366,0.000660981039125042,0.0,1,1,0.0,0.0,0.0017186902562631198,0.00101911604398993,4.0,0.0154131643845108,0.0,Yes,Hawaii,0.00283041976638766,2.0
