,id,age,highest_education,profession,avg(GROSPAYX),hispanic,weekly_hours_worked,in_college,is_married,schoolmeals_purchases,self_employed,sex,supp_security,reason_unemployment,main_profession,numweeks_schoolmeals,id_2,psu,psu_popsize,net_income,FWAGEXM,alcbev,bakery,beef,cereal,child_age,housing_type,census_division,eggs,fam_size,food_away,food_home,total_food,fresh_fruit,fresh_veg,value_foodstamps,number_foodstamps,non_alc_grocery,milk,number_earners,non_alc_bevs,oils,othdairy,othmeat,members_under18,members_over64,pet_food,pork,procfruit,proc_veg,spouse_race,foodstamp_or_not,seafood,smoking,lives_in_MSA,state,sweets,vehicle,miscellaneous,poultry,total_food_percent
24,360931,35,Bachelor’s degree,Paid employee of a PRIVATE company,2700.0,No,40.0,Not at all,Married,,No,Male,,,103.0,,360931,Rest of America,1.20-4 mil,68000.0,68000.0,10.7,14.705,3.39,2.34,2,"House, apartment, flat",West South Central,1.035,5,134.15,132.375,266.525,23.855,12.5,,,200.0,7.705,1,0.0,4.24,12.245,1.69,3,0,0.0,2.085,6.475,1.805,1.0,No,0.0,0.0,Yes,Oklahoma,2.55,2.0,16.81,18.945,0.20381323529411763
25,360934,54,Master’s or greater,Paid employee of a PRIVATE company,9772.66666666667,No,41.6666666666667,Not at all,Married,,No,Male,,,101.0,,360934,Rest of America,1.20-4 mil,401230.8,393230.8,12.0,5.88,0.0,0.0,7,"House, apartment, flat",South Atlantic,0.66,3,57.895,54.325,112.22,6.585,6.73,,,90.0,1.585,3,4.205,0.71,10.07,0.0,0,0,0.0,1.79,0.64,0.93,1.0,No,0.0,0.0,Yes,,0.0,3.0,12.75,1.79,0.014543848577925723
27,360939,75,Bachelor’s degree,,,No,,Not at all,Widowed,,No,Female,,Retired,930.0,,360939,"St. Louis, MO-IL",1.20-4 mil,40735.2,0.0,0.0,8.05,10.085,1.015,0,"House, apartment, flat",West North Central,0.0,3,8.0,60.575,68.575,9.07,0.0,,,70.0,0.0,0,7.925,1.015,5.27,0.0,0,3,0.0,0.0,0.0,0.0,,No,0.0,0.0,Yes,Missouri,1.045,1.0,17.1,0.0,0.08753854160529469
28,360940,48,Master’s or greater,Paid employee of a PRIVATE company,22718.0,No,50.0,Not at all,Married,,No,Male,,,103.0,,360940,Rest of America,1.20-4 mil,233230.8,233230.8,61.961025,8.285,0.0,2.345,5,"House, apartment, flat",East South Central,1.245,3,276.828975,104.3,381.128975,8.46,12.61,,,185.0,0.0,1,10.475,0.0,24.2,0.0,1,0,1.4,0.0,0.0,1.38,1.0,No,0.0,0.0,Yes,Kentucky,0.0,3.0,23.42,11.88,0.08497465471970256
29,360941,70,High school graduate,Paid employee of a PRIVATE company,2500.0,No,8.0,Not at all,Married,,No,Male,,,112.0,,360941,Rest of America,"< 125,000",38266.0,4000.0,0.0,1.695,0.0,7.475,0,"House, apartment, flat",,0.695,2,21.75,47.825,69.575,1.765,6.635,,,40.0,5.43,1,0.465,1.04,9.515,0.0,0,2,0.0,1.67,0.0,0.495,1.0,No,0.0,0.0,Yes,,3.475,2.0,7.47,0.0,0.09454607223122355
30,360942,21,Some college but no degree,,,No,,Full time,Never married,,No,Female,,Going to school,920.0,,360942,Rest of America,"125,000 - 330,000",31581.9,0.0,0.0,0.0,0.0,0.0,0,,South Atlantic,0.0,1,23.53654,18.815,42.35154,0.0,3.27,,,100.0,0.0,0,0.0,3.565,2.24,0.0,0,0,4.701025,0.0,0.0,0.0,,No,0.0,4.835155,Yes,North Carolina,5.67,1.0,4.07,0.0,0.06973234922534742
31,360945,60,High school graduate,Paid employee of a PRIVATE company,,No,40.0,Not at all,Married,,No,Male,,,111.0,,360945,Rest of America,1.20-4 mil,68817.6,68817.6,0.0,12.2,0.0,0.0,0,"House, apartment, flat",East North Central,0.0,2,8.7,49.385,58.085,1.82928,0.0,,,120.0,1.89,2,0.0,0.0,7.025,1.995,0,0,0.0,0.0,0.0,0.495,1.0,No,0.0,0.0,Yes,,1.245,4.0,16.65,6.05572,0.0438902257562019
32,360946,61,High school graduate,Paid employee of a PRIVATE company,800.0,No,20.0,Not at all,Married,,No,Male,,,111.0,,360946,Rest of America,"< 125,000",103592.9,20000.0,5.945,15.075,5.255,11.125,0,"House, apartment, flat",,0.945,2,22.04,76.215,98.255,2.535,9.0,,,105.0,2.84,1,0.0,1.695,12.26,1.995,0,0,0.0,4.58,0.0,0.0,1.0,No,0.0,0.0,No,,1.625,3.0,7.285,0.0,0.04932056154427572
33,360948,62,High school graduate,A State government employee,2.0,No,45.0,Not at all,Married,,No,Female,,,110.0,,360948,"Honolulu, HI",0.33-1.19 mil,178859.8,162775.0,0.0,21.17,30.379995,3.645,7,"House, apartment, flat",Pacific,4.17,9,2.535,159.849995,162.384995,10.355,10.875,,,,4.49,4,12.5,3.08,8.3,0.0,4,1,0.0,11.29,0.0,20.86,1.0,No,4.96,0.0,Yes,Hawaii,0.0,4.0,13.775,0.0,0.04721027162056538
34,360953,68,Associate’s degree in college,,,No,60.0,Not at all,Widowed,,No,Female,,Retired,930.0,,360953,Rest of America,"125,000 - 330,000",42972.0,23687.0,0.0,11.19137,31.573215,0.0,7,"House, apartment, flat",Middle Atlantic,0.0,5,8.73,107.14,115.87,0.0,0.0,,,160.0,1.555,1,11.225,3.995,5.23,9.782745,2,1,0.0,10.92404,0.0,2.075,,No,0.0,43.54,Yes,Pennsylvania,6.684360000000001,1.0,9.96,2.94427,0.14021316205901516
36,360957,36,High school graduate,,1000.0,Yes,40.0,Not at all,Married,,No,Female,,Taking care of home/family,910.0,,360957,Rest of America,1.20-4 mil,60000.0,60000.0,0.0,18.96,0.0,19.015,2,"House, apartment, flat",Mountain,9.645,6,40.0,177.305,217.305,14.08,3.185,,,150.0,6.435,1,10.07,5.775,6.49,0.0,4,0,0.0,10.69,0.0,4.495,1.0,No,0.0,0.0,Yes,Nevada,4.95,2.0,53.295,10.22,0.188331
37,360958,56,Master’s or greater,Paid employee of a PRIVATE company,2900.0,No,55.0,Not at all,Never married,,No,Male,,,102.0,,360958,"New York-Newark-Jersey City, NY-NJ-PA",4 mil+,112082.2,112000.0,1.935,2.545,0.0,7.085,0,"House, apartment, flat",Middle Atlantic,0.0,1,83.478505,55.325,138.803505,0.0,0.0,,,72.0,5.745,1,2.75,0.0,2.645,0.0,0,0,0.0,0.0,1.695,0.0,,No,3.22,40.5,Yes,New York,1.75,,27.89,0.0,0.06439722150350367
39,360962,45,Bachelor’s degree,Paid employee of a PRIVATE company,,No,50.0,Not at all,Married,,Yes,Male,,,110.0,,360962,Rest of America,0.33-1.19 mil,192314.5,233230.8,0.0,33.955,14.955,26.68,4,"House, apartment, flat",Mountain,5.24,6,144.42,255.325,399.745,8.01,15.95,,,200.0,10.145,1,55.115,3.31,16.7,0.0,4,0,2.65,3.775,2.2877650000000003,0.927235,1.0,No,0.0,0.0,Yes,,18.855,3.0,36.85,2.57,0.1080872217123514
40,360964,18,High school graduate,,,No,,Full time,Never married,,No,Female,,Going to school,920.0,,360964,Rest of America,1.20-4 mil,2361.0,0.0,0.0,0.0,0.0,0.0,0,Student quarters in college dormitory,South Atlantic,0.0,1,8.04,0.0,8.04,0.0,0.0,,,15.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,No,0.0,0.0,Yes,North Carolina,0.0,,0.0,0.0,0.1770775095298602
41,360965,58,Associate’s degree in college,Paid employee of a PRIVATE company,11769.0,Yes,32.3333333333333,Not at all,Divorced,,No,Female,,,110.0,,360965,"Chicago-Naperville-Elgin, IL-INWI",4 mil+,60236.2,60236.2,5.67,25.685,6.205,24.77,7,"House, apartment, flat",East North Central,6.5,4,147.015,334.275,481.29,23.428895,13.319720000000002,,,110.0,19.665,3,14.755,16.895,21.08,1.77,1,0,0.0,9.39,15.848725,13.02266,,No,0.0,0.0,Yes,Illinois,5.7,2.0,83.19978,33.04022,0.4154823843469542
42,360967,43,Bachelor’s degree,Paid employee of a PRIVATE company,3000.0,No,47.5,Not at all,Married,,No,Female,,,103.0,,360967,Rest of America,1.20-4 mil,158905.8,155053.8,0.0,12.095,5.74,19.17,4,"House, apartment, flat",Pacific,1.29,4,227.165,123.0,350.165,15.945,1.07,,,160.0,2.975,2,1.985,0.0,11.96,0.0,2,0,4.4,0.0,5.599130000000001,3.03087,1.0,No,10.465,0.0,Yes,Oregon,9.335,2.0,22.34,0.0,0.11458725861485235
44,360973,51,Some college but no degree,Paid employee of a PRIVATE company,878.0,No,43.0,Not at all,Married,,No,Male,,,110.0,,360973,Rest of America,"125,000 - 330,000",54340.0,54100.0,0.0,0.0,0.0,0.0,5,"House, apartment, flat",West South Central,0.0,3,13.135,5.575,18.71,0.0,0.0,,,35.0,1.93,2,0.0,0.0,2.5,0.0,1,0,2.995,0.0,0.0,0.0,1.0,No,0.0,0.0,No,Texas,0.0,3.0,1.145,0.0,0.017904306220095693
45,360974,68,Master’s or greater,Paid employee of a PRIVATE company,5000.0,No,40.0,Not at all,Divorced,,No,Male,,,103.0,,360974,Rest of America,1.20-4 mil,88301.0,85800.0,0.0,5.24,33.230005,4.19,0,"House, apartment, flat",East North Central,0.0,1,11.495,114.520005,126.015005,4.49,2.115,,,49.0,2.89,1,6.895,1.995,2.6459650000000003,0.64,0,1,0.0,0.0,2.685,4.55,,No,0.0,0.0,Yes,Ohio,12.344035,1.0,26.58,4.03,0.07420958154494287
46,360982,40,"Some high school, no degree",Paid employee of a PRIVATE company,,No,40.0,,Divorced,,No,Male,,,101.0,,360982,"New York-Newark-Jersey City, NY-NJ-PA",4 mil+,58782.0,58782.0,0.0,1.5,0.0,2.5,1,"House, apartment, flat",Middle Atlantic,0.0,3,25.75,22.025,47.775,0.0,0.0,,,130.0,1.495,1,3.78,0.0,0.0,0.0,1,0,0.0,0.0,0.56214,0.68786,,No,8.0,0.0,Yes,New York,0.0,2.0,0.0,3.5,0.04226293763396958
47,360983,56,Master’s or greater,Paid employee of a PRIVATE company,11609.0,No,36.0,Not at all,Married,,No,Female,,,102.0,,360983,Rest of America,1.20-4 mil,241230.8,241230.8,10.54,5.23,0.0,8.71,0,"House, apartment, flat",East North Central,2.49,2,9.345,160.065,169.41,12.145,26.53,,,120.0,0.0,2,2.645,16.1,0.895,0.0,0,0,2.985,0.0,8.92,4.715,4.0,No,0.0,0.0,Yes,,1.795,2.0,69.89,0.0,0.0365182223828798
48,360984,39,Master’s or greater,Paid employee of a PRIVATE company,,No,40.0,Not at all,Never married,,No,Female,,,103.0,,360984,"Baltimore-Columbia-Towson, MD",1.20-4 mil,101000.0,101000.0,0.0,11.265,0.0,1.495,1,"House, apartment, flat",South Atlantic,0.0,2,83.395,40.435,123.83,1.085,0.0,,,65.0,5.49,1,1.055,0.0,5.985,0.0,1,0,0.0,2.0,3.49,0.0,,No,0.0,0.0,Yes,,0.0,1.0,8.57,0.0,0.06375405940594059
49,360985,22,Some college but no degree,Paid employee of a PRIVATE company,140.0,No,30.0,Full time,Never married,,No,Male,,,112.0,,360985,Rest of America,"125,000 - 330,000",25506.0,25500.0,4.0517199999999995,1.475,0.0,4.45,0,"House, apartment, flat",West North Central,0.0,1,67.58828000000001,18.06,85.64828,0.0,0.0,,,15.0,1.585,1,5.28,2.325,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,No,0.0,0.0,Yes,Nebraska,2.945,1.0,0.0,0.0,0.17461423037716614
50,360990,61,High school graduate,,,No,,Not at all,Widowed,,No,Female,,Retired,930.0,,360990,"Detroit-Warren-Dearborn, MI",1.20-4 mil,29832.0,0.0,0.0,7.2,0.0,1.25,0,"House, apartment, flat",East North Central,0.945,1,21.495,46.885,68.38,1.25,8.525,,,100.0,0.945,0,0.0,1.945,7.135,5.25,0,0,0.0,0.0,0.0,2.25,,No,0.0,0.0,Yes,,1.25,2.0,4.445,4.495,0.11919281308661839
51,360993,62,Master’s or greater,Paid employee of a PRIVATE company,2500.0,Yes,20.0,Not at all,Married,,Yes,Male,,,102.0,,360993,"San Diego-Carlsbad, CA",1.20-4 mil,131103.4,79103.4,10.0,4.56761,3.88544,1.914555,0,"House, apartment, flat",Pacific,8.025395,2,173.10712,350.560005,523.667125,28.24,38.7532,,,200.0,5.485725,1,93.69499499999999,0.0,1.298975,5.668225,0,0,21.5,19.446335,13.973754999999999,6.697019999999999,1.0,No,0.0,0.0,Yes,California,1.39237,2.0,93.5088,24.007604999999998,0.20770392301038726
52,360995,26,Some college but no degree,Paid employee of a PRIVATE company,1300.0,No,50.0,Not at all,Never married,,No,Male,,,101.0,,360995,"Denver-Aurora-Lakewood, CO",1.20-4 mil,66000.0,66000.0,7.0824300000000004,0.0,3.762585,0.0,0,"House, apartment, flat",Mountain,2.0432,1,25.002570000000002,32.655004999999996,57.657575,4.946615,0.0,,,60.0,1.5446950000000002,1,7.247389999999999,0.0,2.70779,0.0,0,0,0.0,0.0,0.0,2.835655,,No,0.0,0.0,Yes,Colorado,0.0,1.0,4.9878800000000005,2.579195,0.04542718030303031
53,360998,45,Some college but no degree,Paid employee of a PRIVATE company,960.0,Yes,40.0,Not at all,Divorced,,No,Female,,,104.0,,360998,"Los Angeles-Long Beach-Anaheim, CA",4 mil+,53200.0,53200.0,0.0,0.0,2.665,0.0,7,"House, apartment, flat",Pacific,0.0,2,32.17,2.665,34.835,0.0,0.0,,,110.0,0.0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,No,0.0,0.0,Yes,California,0.0,2.0,0.0,0.0,0.03404924812030075
54,361001,72,Master’s or greater,,,No,,Not at all,Married,,No,Female,,Retired,930.0,,361001,"Honolulu, HI",0.33-1.19 mil,153216.0,0.0,0.0,2.605,17.015,6.505,0,"House, apartment, flat",Pacific,3.905,2,51.245,203.87,255.115,16.07,19.955,,,50.0,7.505,0,6.725,2.605,34.025,0.0,0,2,10.445,0.0,3.6,4.18,1.0,No,13.26,0.0,Yes,Hawaii,2.28,3.0,58.1,5.535,0.08658351608187134
55,361004,69,High school graduate,Paid employee of a PRIVATE company,,No,26.0,Not at all,Divorced,,No,Male,,,112.0,,361004,Rest of America,1.20-4 mil,32454.4,16000.0,0.0,0.5,0.0,0.395,0,"House, apartment, flat",East North Central,2.435,1,3.92,51.38,55.3,6.82,1.15,,,25.0,0.0,1,5.56,1.0,0.0,3.8513900000000003,0,1,0.0,6.588610000000001,1.295,0.345,,No,2.745,13.39,Yes,Indiana,0.0,1.0,15.965,2.73,0.08860431867481758
56,361008,48,Master’s or greater,Self-employed,1550.0,No,40.0,Not at all,Married,,Yes,Male,,,203.0,,361008,"Dallas-Fort Worth-Arlington, TX",4 mil+,273450.2,36573.0,0.0,24.395,5.675,2.81,7,"House, apartment, flat",West South Central,0.0,3,244.75209500000003,115.075,359.82709500000004,0.0,0.0,,,125.0,5.885,3,7.545,7.475,2.145,1.74,0,0,0.0,2.24,1.38,1.96,1.0,No,0.0,4.757445,Yes,Texas,15.71,4.0,36.115,0.0,0.06842565461645303
57,361009,43,Associate’s degree in college,Paid employee of a PRIVATE company,,Yes,36.0,Not at all,Married,,No,Male,,,112.0,,361009,Rest of America,0.33-1.19 mil,36000.0,36000.0,5.0,16.575,8.375,8.0,0,"House, apartment, flat",West North Central,0.0,2,63.375,110.355,173.73,0.0,7.75,,,80.0,3.625,2,8.25,4.0,0.0,0.0,0,0,0.0,0.0,6.0,5.85,1.0,No,26.0,0.0,Yes,Nebraska,1.625,2.0,8.13,6.175,0.2509433333333333
58,361010,75,Bachelor’s degree,,,No,8.0,Not at all,Married,,No,Female,,Retired,930.0,,361010,Rest of America,1.20-4 mil,104820.0,0.0,0.0,9.575,2.38,2.99,0,"House, apartment, flat",Middle Atlantic,0.0,2,82.89,48.605,131.495,8.185,3.82,,,120.0,1.445,1,1.455,0.0,5.485,0.0,0,2,0.0,0.0,7.37,0.0,1.0,No,0.0,0.0,Yes,New York,3.475,2.0,2.425,0.0,0.0652331616103797
59,361012,40,Associate’s degree in college,Self-employed,1330.0,No,23.0,Not at all,Divorced,,Yes,Female,,,207.0,,361012,Rest of America,"125,000 - 330,000",55346.8,30000.0,0.0,4.61,1.71,2.74,1,"House, apartment, flat",East South Central,0.0,2,31.465,41.985,73.45,3.44,1.61,,,60.0,0.88,1,8.44,0.0,3.44,1.405,1,0,0.0,0.0,0.0,0.405,,No,0.0,0.0,Yes,Alabama,0.0,1.0,13.305,0.0,0.06900850636351152
60,361022,61,Associate’s degree in college,A Federal government employee,892.666666666667,Yes,33.3333333333333,Not at all,Married,,No,Male,,,103.0,,361022,"Phoenix-Mesa-Scottsdale, AZ",1.20-4 mil,138881.9,96300.0,0.0,2.92,0.0,2.695,0,"House, apartment, flat",Mountain,0.0,5,0.0,71.45,71.45,1.66,6.83,,,160.0,4.935,3,22.9,1.615,3.49,0.0,2,0,0.0,0.0,1.0,0.0,1.0,No,0.0,0.0,Yes,Arizona,1.005,4.0,16.81,5.59,0.026752226172020978
61,361023,88,High school graduate,,,No,,Not at all,Married,,No,Male,,Retired,930.0,,361023,Rest of America,"125,000 - 330,000",42006.0,0.0,0.0,4.305,22.505,0.515,0,"House, apartment, flat",East South Central,2.74,2,7.16,75.63,82.79,1.61,4.94,,,55.0,3.26,0,2.175,0.0,13.39,2.0,0,2,3.68,2.37,0.65,3.195,1.0,No,0.85,0.0,Yes,Alabama,0.0,2.0,9.535,1.59,0.10248726372422987
