,id,age,highest_education,profession,avg(GROSPAYX),hispanic,weekly_hours_worked,in_college,is_married,schoolmeals_purchases,self_employed,sex,supp_security,reason_unemployment,main_profession,numweeks_schoolmeals,id_2,psu,psu_popsize,net_income,FWAGEXM,alcbev,bakery,beef,cereal,child_age,housing_type,census_division,eggs,fam_size,food_away,food_home,total_food,fresh_fruit,fresh_veg,value_foodstamps,number_foodstamps,non_alc_grocery,milk,number_earners,non_alc_bevs,oils,othdairy,othmeat,members_under18,members_over64,pet_food,pork,procfruit,proc_veg,spouse_race,foodstamp_or_not,seafood,smoking,lives_in_MSA,state,sweets,vehicle,miscellaneous,poultry,total_food_percent
321,361586,49,High school graduate,Paid employee of a PRIVATE company,330.0,No,40.0,Not at all,Divorced,,No,Female,,,107.0,,361586,Rest of America,"125,000 - 330,000",15220.0,12000.0,0.805,9.806325,4.44,2.625,5,Mobile home or trailer with NO permanent room added,Pacific,2.09,2,5.845,77.04,82.885,2.43593,4.526845,60.0,12.0,60.0,7.420669999999999,1,7.55,3.29,10.1552,0.0,1,0,0.0,4.985,3.81746,1.53754,,Yes,0.0,18.435,Yes,California,5.785,1.0,6.57503,0.0,0.28318134034165576
330,361601,53,"Some high school, no degree",,400.0,No,40.0,,Married,,No,Male,,"Ill, disabled, unable to work",900.0,,361601,Rest of America,"125,000 - 330,000",24761.8,17687.8,0.0,0.0,0.0,0.0,0,"House, apartment, flat",West South Central,0.0,2,7.5,6.0,13.5,0.0,0.0,357.0,2.0,75.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,Yes,0.0,83.93,Yes,Louisiana,0.0,1.0,2.5,3.5,0.028350119942815142
353,361647,27,High school graduate,Paid employee of a PRIVATE company,267.0,No,40.0,Not at all,Never married,,No,Female,,,110.0,,361647,Rest of America,"< 125,000",14978.0,3314.0,0.0,2.93324,0.0,0.0,0,"House, apartment, flat",,1.6577099999999998,1,71.2852,16.924995000000003,88.210195,1.338135,0.0,102.0,12.0,50.0,0.0,1,3.575,0.0,0.0,0.0,0,0,7.466214999999999,0.0,2.754155,0.0,,Yes,0.0,0.0,Yes,,0.0,,2.3528849999999997,2.31387,0.3062445012685272
354,361648,47,"Some high school, no degree",,,Yes,24.5,,Married,,No,Female,,Taking care of home/family,910.0,,361648,"Miami-Fort Lauderdale-West Palm Beach, FL",4 mil+,41246.0,40296.0,0.0,11.43,0.0,0.0,6,"House, apartment, flat",South Atlantic,0.0,4,25.965,47.345,73.31,2.245,1.895,190.0,5.0,150.0,0.0,2,1.065,0.0,0.0,0.0,1,0,0.0,9.605,0.0,0.0,1.0,Yes,0.0,0.0,Yes,Florida,0.0,,12.58,8.525,0.09242399262958832
374,361692,34,High school graduate,Paid employee of a PRIVATE company,800.0,No,34.0,Not at all,Separated,,No,Male,,,110.0,,361692,"Anchorage, AK","125,000 - 330,000",43441.0,31500.0,0.0,3.98,0.0,2.395,4,"House, apartment, flat",Pacific,0.995,5,35.79,56.65,92.44,1.049395,0.455,620.0,12.0,150.0,3.89,2,8.235,0.0,4.315,0.0,3,0,0.0,0.0,0.0,1.69,,Yes,0.0,0.0,Yes,Alaska,0.0,1.0,29.645605,0.0,0.11065306968071638
378,361697,49,High school graduate,,578.0,No,20.0,Not at all,Married,,No,Female,938.0,"Ill, disabled, unable to work",900.0,,361697,Rest of America,"< 125,000",8498.0,7200.0,3.19,12.745,0.0,0.945,6,Mobile home or trailer with one or more permanent rooms added,,0.99,4,2.5,64.695,67.195,3.205,1.0,30.0,12.0,50.0,1.495,1,11.62,3.635,11.685,4.99,1,0,10.325,0.0,0.0,0.545,1.0,Yes,0.89,7.65,No,,1.645,2.0,9.305,0.0,0.4111720404801129
393,361731,70,Some college but no degree,,,No,40.0,Not at all,Married,,No,Male,,Retired,930.0,,361731,"Los Angeles-Long Beach-Anaheim, CA",4 mil+,78604.2,36291.2,10.89,6.175,12.94,1.61,0,"House, apartment, flat",Pacific,0.0,2,35.575,100.215,135.79,11.69,0.88,287.8,2.0,125.0,0.0,1,0.0,1.985,6.825,1.49,0,1,0.0,2.795,0.0,4.57,1.0,Yes,3.535,0.0,Yes,California,7.655,2.0,32.18,5.885,0.08983082328934078
397,361747,36,Bachelor’s degree,,260.0,No,20.0,Not at all,Married,,No,Female,,Taking care of home/family,910.0,,361747,Rest of America,0.33-1.19 mil,14840.0,14000.0,0.0,2.62,4.525,1.745,1,"House, apartment, flat",Mountain,0.51,3,0.0,50.705,50.705,1.945,4.09,120.0,7.0,60.0,5.495,1,3.705,0.0,12.235,0.0,1,0,0.0,0.0,1.745,1.155,1.0,Yes,0.0,0.0,Yes,,4.005,,0.86,6.07,0.17767250673854446
425,361807,33,"Some high school, no degree",Paid employee of a PRIVATE company,587.5,Yes,35.0,,Never married,,No,Male,,,110.0,,361807,Rest of America,1.20-4 mil,13563.0,1175.0,0.0,2.95,12.74,2.735,2,"House, apartment, flat",West South Central,2.59,6,67.2,87.05,154.25,13.845,6.245,230.0,12.0,75.0,4.65,2,4.5,3.3,2.5,0.0,3,1,0.0,9.15,0.75,2.0,,Yes,0.0,0.0,Yes,Texas,0.0,2.0,10.095,9.0,0.5913883359138834
426,361816,68,"Some high school, no degree",,,Yes,,,Married,,No,Male,,Retired,930.0,,361816,Rest of America,"125,000 - 330,000",13908.0,0.0,5.977945,2.465,6.08,1.69,7,"House, apartment, flat",West South Central,2.68,3,35.147055,37.04,72.187055,1.95,1.74,171.0,12.0,70.0,1.435,0,1.85,2.88,0.0,1.485,0,1,25.5,3.125,0.0,0.0,1.0,Yes,0.0,0.0,Yes,Texas,0.0,1.0,7.71,1.95,0.2698969557089445
433,361840,34,High school graduate,Paid employee of a PRIVATE company,11681.5,No,47.5,Not at all,Married,,No,Male,,,111.0,,361840,Rest of America,1.20-4 mil,82973.0,81533.0,0.0,14.44,8.785005,8.69,5,"House, apartment, flat",South Atlantic,0.0,3,69.15,106.535005,175.68500500000002,0.42,5.175,360.0,4.0,65.0,6.15,2,13.92,2.95,8.695,2.837585,1,0,2.55,4.627415,0.0,2.08,1.0,Yes,3.975,44.44,Yes,North Carolina,0.51,3.0,20.21,3.07,0.11010353078712354
456,361892,26,Some college but no degree,,22718.0,No,50.0,Not at all,Never married,,No,Male,,Taking care of home/family,910.0,,361892,Rest of America,"< 125,000",35924.2,22000.0,0.0,4.05,4.16,1.73,2,"House, apartment, flat",West South Central,0.0,7,28.525,37.16,65.685,2.81,6.96,641.0,12.0,120.0,5.565,1,3.54,1.51,1.165,1.525,5,0,0.0,0.0,0.0,0.0,,Yes,0.0,0.0,No,,2.12,2.0,2.025,0.0,0.09507852645292032
458,361895,35,Bachelor’s degree,Paid employee of a PRIVATE company,,Yes,40.0,Not at all,Divorced,,Yes,Female,,,102.0,,361895,"Boston-Cambridge-Newton, MA-NH",1.20-4 mil,115534.8,52000.0,27.274515,5.395,0.0,4.795,1,"House, apartment, flat",New England,2.495,2,98.60048499999999,44.065,142.66548500000002,4.0,3.0,240.0,1.0,70.0,3.245,1,2.655,3.0,4.39,3.0,1,0,0.0,0.0,0.0,2.0,,Yes,0.0,0.0,Yes,,1.295,1.0,4.795,0.0,0.06421100153373703
464,361908,58,Some college but no degree,Self-employed,,No,55.0,Not at all,Married,,Yes,Female,,,203.0,,361908,Rest of America,1.20-4 mil,552695.0,277512.6,99.73,29.176825,0.0,16.565,7,"House, apartment, flat",East North Central,6.44,7,326.645,448.225,774.87,28.1,40.945,16.0,12.0,240.0,9.555,2,42.31,6.085,51.53,13.48,3,0,1.645,10.66,14.625,7.975,1.0,Yes,47.103175,41.805,Yes,Ohio,23.245,5.0,78.44,21.99,0.0729032106315418
473,361924,32,"Some high school, no degree",,400.0,No,40.0,,Married,,No,Female,,Taking care of home/family,910.0,,361924,Rest of America,1.20-4 mil,21600.0,18000.0,0.0,37.861255,25.663005,18.683,2,"House, apartment, flat",East South Central,5.63495,5,11.285,350.0,361.285,31.558759999999996,16.140065,300.0,12.0,250.0,4.260125,1,36.15447,11.415094999999999,21.979215,10.776264999999999,3,0,0.0,8.27022,6.061595,19.06557,4.0,Yes,8.72885,0.0,Yes,Kentucky,15.509220000000001,2.0,61.176365000000004,11.061975,0.8697601851851852
482,361949,66,High school graduate,,,No,,Not at all,Divorced,,No,Male,,Retired,930.0,,361949,Rest of America,0.33-1.19 mil,14064.0,0.0,26.42,4.995,0.0,0.0,0,Mobile home or trailer with one or more permanent rooms added,South Atlantic,0.0,1,29.06,39.405,68.465,0.0,0.0,16.0,12.0,35.0,0.0,0,5.7,0.0,0.0,0.0,0,1,14.48,2.995,0.0,0.875,,Yes,3.75,0.0,Yes,South Carolina,2.21,,18.88,0.0,0.25314135381114905
506,362000,77,Some college but no degree,,,No,,Not at all,Married,,No,Male,,"Ill, disabled, unable to work",900.0,,362000,Rest of America,1.20-4 mil,20544.0,0.0,0.0,3.60545,0.0,1.07,0,"House, apartment, flat",East North Central,0.0,2,26.595,41.39,67.985,2.74,0.72955,16.0,12.0,35.0,5.985,0,1.605,1.995,6.24,0.0,0,2,0.0,0.0,4.18,0.0,2.0,Yes,0.0,0.0,Yes,Ohio,0.0,1.0,7.74,5.5,0.17208041277258565
541,362083,56,High school graduate,,,No,,Not at all,Widowed,,No,Female,8100.0,"Ill, disabled, unable to work",900.0,,362083,Rest of America,0.33-1.19 mil,11928.0,0.0,0.0,2.06,0.0,0.0,0,"House, apartment, flat",Mountain,0.0,1,0.0,33.32,33.32,0.0,3.07,80.0,12.0,45.0,0.0,0,21.2,5.04,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,Yes,0.0,6.94906,Yes,,0.0,,1.95,0.0,0.14525821596244132
557,362118,54,Bachelor’s degree,A local government employee,600.0,Yes,65.0,Not at all,Never married,,No,Male,,,110.0,,362118,"Miami-Fort Lauderdale-West Palm Beach, FL",4 mil+,10381.0,600.0,6.42,20.025,15.22,0.0,0,"House, apartment, flat",South Atlantic,0.0,2,27.705,167.305,195.01,15.83,25.74,35.0,12.0,80.0,0.0,1,24.185,15.995,9.195,4.0,0,0,0.0,18.80441,1.5,2.495,,Yes,0.0,8.55,Yes,Florida,2.5,2.0,11.81559,0.0,0.9768346016761391
563,362129,75,Bachelor’s degree,,,No,,Not at all,Widowed,,No,Female,,"Ill, disabled, unable to work",900.0,,362129,"New York-Newark-Jersey City, NY-NJ-PA",4 mil+,12720.0,0.0,0.0,4.24,0.0,0.0,0,"House, apartment, flat",Middle Atlantic,0.0,1,0.0,41.245,41.245,2.635,9.775,196.0,12.0,70.0,3.98,0,0.0,0.0,8.83,0.0,0,1,0.0,3.5,0.0,0.0,,Yes,0.0,0.0,Yes,New York,0.0,,2.185,6.1,0.16861163522012576
565,362132,24,Some college but no degree,,1300.0,No,40.0,Not at all,Married,,No,Female,,Taking care of home/family,910.0,,362132,Rest of America,"125,000 - 330,000",34858.0,34000.0,0.0,43.99,0.0,4.23,2,Mobile home or trailer with NO permanent room added,South Atlantic,0.445,5,0.0,84.805,84.805,5.565,2.535,286.0,3.0,50.0,0.0,1,4.69,0.445,3.345,0.0,3,0,0.0,9.98,0.0,2.185,1.0,Yes,0.0,0.0,Yes,Florida,0.0,2.0,2.905,4.49,0.1265092661655861
568,362136,70,High school graduate,,,No,40.0,Not at all,Married,,No,Female,300.0,Retired,930.0,,362136,"New York-Newark-Jersey City, NY-NJ-PA",4 mil+,16745.0,9856.8,0.0,3.745,0.0,0.0,7,"House, apartment, flat",Middle Atlantic,0.0,3,2.5,73.605,76.105,8.07,10.75,110.0,12.0,136.0,1.645,1,3.0,0.0,0.0,0.0,0,2,0.0,23.595,0.0,0.0,4.0,Yes,3.0,0.0,Yes,New York,0.0,,11.15,8.65,0.23633681696028666
581,362161,29,Associate’s degree in college,,,Yes,,Not at all,Divorced,,No,Female,,Taking care of home/family,910.0,,362161,Rest of America,"125,000 - 330,000",8400.0,0.0,0.0,14.235389999999999,5.58263,4.396175,2,"House, apartment, flat",Mountain,3.0209799999999998,4,27.66,116.170005,143.830005,21.493914999999998,9.666889999999999,500.0,12.0,90.0,4.99702,0,9.53717,4.691585,2.579525,2.515965,3,0,0.0,5.974035,3.651995,4.421595,,Yes,2.353545,0.0,Yes,Arizona,6.02551,1.0,11.02608,0.0,0.8903762214285714
586,362173,55,Some college but no degree,,,No,,Not at all,Never married,,No,Female,290.0,"Ill, disabled, unable to work",900.0,,362173,"Boston-Cambridge-Newton, MA-NH",1.20-4 mil,9410.0,0.0,0.0,6.589135000000001,4.94514,1.622295,7,"House, apartment, flat",New England,1.614635,2,3.5,100.00001,103.50001,3.15515,8.022260000000001,150.0,12.0,100.0,3.339635,0,6.860475,2.095825,6.76048,4.848345,0,0,0.0,2.9956150000000004,6.344325,6.052385,,Yes,0.0,0.0,Yes,,2.0780849999999997,,25.731360000000002,6.944864999999999,0.5719447948990436
589,362180,63,Grade 8 or lower,Paid employee of a PRIVATE company,525.0,No,34.0,,Married,,Yes,Male,,,105.0,,362180,Rest of America,"< 125,000",39994.0,9000.0,0.0,1.225,0.0,0.0,7,"House, apartment, flat",,0.0,3,0.0,3.065,3.065,0.0,0.0,50.0,5.0,50.0,1.84,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,Yes,0.0,0.0,No,,0.0,7.0,0.0,0.0,0.0039850977646646996
597,362207,65,High school graduate,,,No,,Not at all,Widowed,,No,Male,,"Ill, disabled, unable to work",900.0,,362207,Rest of America,1.20-4 mil,9996.0,0.0,0.0,5.725,0.0,1.49,0,"House, apartment, flat",Pacific,0.845,1,6.31,72.41,78.72,1.445,0.625,194.0,12.0,45.0,1.565,0,7.475,7.34,8.45,1.5,0,1,0.0,0.0,6.115,0.0,,Yes,2.5,0.0,Yes,Oregon,0.5,,26.835,0.0,0.4095078031212485
598,362209,28,Associate’s degree in college,Paid employee of a PRIVATE company,775.0,No,38.5,Not at all,Divorced,,No,Female,,,105.0,,362209,"Washington-ArlingtonAlexandria, DC-VA-MD-WV",4 mil+,44476.0,35000.0,2.0,1.99,0.0,0.835,2,"House, apartment, flat",South Atlantic,0.0,7,133.22,16.31,149.53,0.0,0.0,643.0,12.0,75.0,1.845,2,0.0,0.0,0.0,0.0,5,0,2.795,0.0,2.245,0.0,,Yes,0.0,0.0,Yes,,0.0,2.0,3.75,5.645,0.17482597355877327
602,362214,40,Some college but no degree,,,No,,Full time,Divorced,,No,Male,700.0,"Ill, disabled, unable to work",900.0,,362214,Rest of America,"125,000 - 330,000",2128.0,0.0,0.0,3.18,0.0,1.0,0,"House, apartment, flat",West South Central,0.0,1,3.685,10.025,13.71,0.0,0.0,119.0,12.0,70.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.98,,Yes,0.0,0.0,Yes,Texas,1.49,1.0,2.375,0.0,0.3350187969924812
612,362239,41,High school graduate,Paid employee of a PRIVATE company,420.0,No,19.0,Not at all,Never married,,No,Female,,,105.0,,362239,"Chicago-Naperville-Elgin, IL-INWI",4 mil+,25783.0,21493.0,0.0,1.225,0.0,0.0,6,"House, apartment, flat",East North Central,0.75,4,30.155,7.785,37.94,1.51,0.0,390.0,11.0,40.0,0.75,2,1.05,0.0,0.0,0.0,2,0,6.04,0.0,1.1745649999999999,0.825435,,Yes,0.0,0.0,Yes,Illinois,0.0,1.0,0.5,0.0,0.07651863631074739
617,362249,33,Some college but no degree,Paid employee of a PRIVATE company,400.0,Yes,44.0,Not at all,Married,,No,Male,,,111.0,,362249,Rest of America,"125,000 - 330,000",35929.0,34200.0,0.0,9.625,0.0,4.29,2,"House, apartment, flat",West South Central,2.17,4,30.34,74.11,104.45,3.37,0.35685500000000003,247.0,7.0,100.0,6.98,2,5.665,0.0,2.895,2.18432,2,0,2.5,0.0,13.875,2.138145,1.0,Yes,4.19,3.48,No,Texas,1.39,2.0,14.98068,0.0,0.15117036377299675
